satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I06,2025-03-23 18:05:36,-0.000182406976819,-9.094947017729001e-13,0.0,233.0,-231.99999999999997,3.3444250230120003e-09,-3.033745899762,-7.499009370804e-06,0.001948542427272,5.584210157393999e-06,6493.4018459320005,65136.0,1.527369022369e-07,-1.253961856499,-8.195638656615999e-08,0.07389935212464,-163.875,-2.962992991843,-2.340097474453e-09,6.028822553230001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,65436.0
I06,2025-03-23 18:20:48,-0.0001824079081416,-9.094947017729001e-13,0.0,234.0,-239.37499999999997,3.057270204718e-09,-2.967338130641,-7.715076208115e-06,0.0019494958687570002,5.818903446198e-06,6493.399507523,66048.0,1.7136335372919998e-07,-1.253962535293,-1.862645149231e-08,0.07390014356332,-171.5625,-2.962895328895,-2.0357990849180002e-09,5.921675232971001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,66348.0
I06,2025-03-23 18:36:00,-0.00018240837380290002,-1.0231815394949999e-12,0.0,235.0,-249.18749999999997,2.782973064856e-09,-2.900989911063,-8.005648851394999e-06,0.0019505752716210002,6.046146154404e-06,6493.396814346,66960.0,1.676380634308e-07,-1.253962718158,4.842877388e-08,0.07390091013240001,-179.0625,-2.962738552353,-1.7429297428770001e-09,5.79309844866e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,67212.0
I06,2025-03-23 18:50:24,-0.0001824093051255,-9.094947017729001e-13,0.0,236.0,-260.5,2.560106638718e-09,-2.838190926776,-8.340924978256e-06,0.001951669459231,6.243586540221999e-06,6493.3940219880005,67824.0,1.4528632163999998e-07,-1.253962602587,1.080334186554e-07,0.07390160062973,-185.25,-2.96253302114,-1.498633852687e-09,5.653806932324e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,68124.0
I06,2025-03-23 19:05:36,-0.00018241023644800002,-1.0231815394949999e-12,0.0,237.0,-274.0625,2.3829564025560004e-09,-2.771963591044,-8.746981620789e-06,0.001952861202881,6.403774023056e-06,6493.390878677,68736.0,1.0058283805849999e-07,-1.253962873227,1.601874828339e-07,0.07390226772037,-190.1875,-2.962255117907,-1.298625521537e-09,5.500229106620001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,69036.0
I06,2025-03-23 19:20:48,-0.00018241163343190003,-1.136868377216e-12,0.0,238.0,-288.6875,2.2886667607290002e-09,-2.705787764658,-9.190291166306e-06,0.001954022212885,6.508082151413e-06,6493.387712479,69648.0,4.4703483581540004e-08,-1.253963168736,1.862645149231e-07,0.0739028528876,-193.0625,-2.961925589758,-1.182906415657e-09,5.364509167625e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,69948.0
I06,2025-03-23 19:36:00,-0.0001824120990932,-1.0231815394949999e-12,0.0,239.0,-303.6875,2.182948071406e-09,-2.639662183657,-9.652227163315e-06,0.001955148065463,6.545335054397999e-06,6493.384492874,70560.0,-1.862645149231e-08,-1.253962845432,2.011656761169e-07,0.07390346731320001,-193.625,-2.961546342875,-1.0557582622840001e-09,5.207359764579001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,70860.0
I06,2025-03-23 19:50:24,-0.00018241256475450002,-9.094947017729001e-13,0.0,240.0,-318.125,2.038656346791e-09,-2.577058675946,-1.0102987289430002e-05,0.001956169260666,6.5155327320099995e-06,6493.381427765,71424.0,-9.685754776001e-08,-1.253961915016,2.160668373108e-07,0.07390405540627,-192.125,-2.961145804683,-8.914657045534e-10,5.003779856087e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,71724.0
I06,2025-03-23 20:05:36,-0.0001824134960771,-1.0231815394949999e-12,0.0,241.0,-332.8125,1.935794919343e-09,-2.511013226283,-1.0568648576740001e-05,0.001957176020369,6.422400474547999e-06,6493.378206253,72336.0,-1.7508864402769998e-07,-1.253960953878,2.0861625671389998e-07,0.0739046405735,-188.25,-2.960686865338,-7.671748130532e-10,4.800199947595e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,72636.0
I06,2025-03-23 20:20:48,-0.00018241489306090002,-1.136868377216e-12,0.0,242.0,-345.9375,2.0172268827390004e-09,-2.444975026841,-1.0997056961060002e-05,0.00195804820396,6.265938282013e-06,6493.375204086,73248.0,-2.123415470123e-07,-1.253962103732,1.564621925354e-07,0.07390509554102,-182.625,-2.960218468227,-8.314632052085001e-10,4.732339978098e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,73548.0
I06,2025-03-23 20:36:00,-0.0001824162900448,-1.364242052659e-12,0.0,243.00000000000003,-356.75,2.381527771619e-09,-2.37891462908,-1.136586070061e-05,0.001958751468919,6.0722231864929995e-06,6493.372545242,74160.0,-1.527369022369e-07,-1.253967240037,6.705522537231e-08,0.07390539397631,-175.8125,-2.959768193746,-1.1800491537840002e-09,4.946634618616e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,74460.0
I06,2025-03-23 20:50:24,-0.0001824176870286,-1.477928890381e-12,0.0,244.0,-364.375,2.818688838275e-09,-2.316283241077,-1.164153218269e-05,0.001959248329513,5.8710575103759994e-06,6493.370449066,75024.0,-3.725290298462e-08,-1.253974474167,3.725290298462e-09,0.0739056441353,-169.0625,-2.959387014348,-1.608638434819e-09,5.318078662179999e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,75372.0
I06,2025-03-23 21:05:36,-0.00018241908401250002,-1.364242052659e-12,0.0,245.00000000000003,-369.3125,3.1187013350000003e-09,-2.250090573578,-1.1842697858810001e-05,0.001959593151696,5.6736171245570004e-06,6493.368766785,75936.0,5.960464477539e-08,-1.253980713513,-2.607703208923e-08,0.07390602888275,-162.75,-2.959067711996,-1.902936407797e-09,5.621662736246e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,76236.0
I06,2025-03-23 21:20:48,-0.00018242048099640002,-1.477928890381e-12,0.0,246.0,-371.5,3.1801324652820003e-09,-2.183796138183,-1.195445656776e-05,0.001959761953913,5.502253770828e-06,6493.367710114,76848.0,7.82310962677e-08,-1.253983516464,-4.0978193283079996e-08,0.0739065262749,-157.875,-2.958853505679,-1.964367538078e-09,5.660950087008e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,77148.0
I06,2025-03-23 21:36:00,-0.0001824218779802,-1.364242052659e-12,0.0,247.00000000000003,-371.375,3.0929859781380003e-09,-2.117383226905,-1.199170947075e-05,0.001959784538485,5.397945642471e-06,6493.367290497,77760.0,3.725290298462e-08,-1.253982900575,-7.450580596924e-08,0.07390709973879,-155.4375,-2.958761109236,-1.8815069437450003e-09,5.460941755858e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,78060.0
I06,2025-03-23 21:50:24,-0.00018242327496410002,-1.477928890381e-12,0.0,248.0,-369.8125,3.0072681219309998e-09,-2.054346543299,-1.1973083019260002e-05,0.0019596990896390003,5.371868610382e-06,6493.367502213,78624.0,-3.725290298462e-09,-1.253981695131,-1.192092895508e-07,0.07390762931513,-155.6875,-2.958793338785,-1.801503611285e-09,5.228789228631001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,78972.0
I06,2025-03-23 22:05:36,-0.0001824237406254,-1.136868377216e-12,0.0,249.00000000000003,-367.625,2.9986963363100005e-09,-1.987690865154,-1.192465424538e-05,0.001959542161785,5.4277479648589995e-06,6493.36828804,79536.0,-3.725290298462e-09,-1.253982534846,-1.4528632163999998e-07,0.07390813255895,-158.6875,-2.958942184847,-1.804360873159e-09,5.150214527108e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,79836.0
I06,2025-03-23 22:20:48,-0.00018242467194800002,-1.136868377216e-12,0.0,250.0,-365.625,3.0686992522130003e-09,-1.920935982146,-1.1872500181200002e-05,0.001959359040484,5.565583705902e-06,6493.369524002001,80448.0,3.725290298462e-08,-1.25398711378,-9.685754776001e-08,0.07390859191523,-164.125,-2.95918651411,-1.887221467492e-09,5.389510209019e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,80748.0
I06,2025-03-23 22:36:00,-0.00018242467194800002,-6.821210263297e-13,0.0,250.99999999999997,-364.375,3.145845322799e-09,-1.854103418187,-1.1831521987920001e-05,0.001959182438441,5.766749382019e-06,6493.371112823,81359.99999999999,8.940696716309e-08,-1.253995241752,2.9802322387700004e-08,0.07390905566026,-171.3125,-2.959505011857,-1.97722521651e-09,5.921675232971001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,81660.0
I06,2025-03-23 22:50:24,-0.00018242513760920002,-6.821210263297e-13,0.0,252.0,-364.125,3.162988894041e-09,-1.790738616686,-1.182034611702e-05,0.001959041575901,6.005167961120999e-06,6493.372831345,82224.0,1.080334186554e-07,-1.254004054371,1.862645149231e-07,0.07390955158949,-179.1875,-2.959855423162,-2.007226466182e-09,6.543129690472e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,82524.0
I06,2025-03-23 23:05:36,-0.00018242513760920002,-6.821210263297e-13,0.0,252.99999999999997,-364.6875,3.122987227811e-09,-1.723817215563,-1.1831521987920001e-05,0.001958920503967,6.284564733505e-06,6493.374826431001,83135.99999999999,9.313225746155001e-08,-1.254013064483,3.054738044739e-07,0.07391017479259,-187.9375,-2.960262007595,-1.978653847446e-09,7.011006322269e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,83436.0
I06,2025-03-23 23:20:48,-0.00018242513760920002,-6.821210263297e-13,0.0,254.0,-366.625,3.0901287162650004e-09,-1.656884725522,-1.189112663269e-05,0.001958858687431,6.582587957382e-06,6493.376823425,84048.0,8.195638656615999e-08,-1.254015852805,3.2410025596619997e-07,0.07391081408779,-197.0,-2.960685951014,-1.9572243833950003e-09,7.103867333160001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,84347.99999999999
I06,2025-03-23 23:36:00,-0.0001824256032705,-5.684341886081e-13,0.0,254.99999999999997,-369.625,3.162988894041e-09,-1.589932032582,-1.199170947075e-05,0.001958840643056,6.884336471558e-06,6493.378919600999,84960.0,1.266598701477e-07,-1.254013908587,2.533197402954e-07,0.07391143729089,-206.12499999999997,-2.961134905943,-2.042942239602e-09,6.7752822177e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,85260.0
I06,2025-03-23 23:50:24,-0.0001824260689318,-7.958078640513001e-13,0.0,160.0,-373.4375,3.334424606455e-09,-1.526493634599,-1.2125819921490002e-05,0.0019588634604590003,7.167458534241e-06,6493.380949019999,85824.0,2.197921276093e-07,-1.254009829971,1.7136335372919998e-07,0.07391197710767,-214.62500000000003,-2.961572085845,-2.224378368573e-09,6.321691895271e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,86172.0
